gene,log2_fold_change,p_value,padj
CUL7,-0.45245808875993454,0.0006080479967217844,0.04354184931601874
GRIP2,-0.05789906133525401,0.00060635293675779,0.04354184931601874
MEIS3,0.7216860455945402,0.0006152059971125967,0.04354939202060505
ATG9A,0.37947474816039595,0.0006190157191656,0.04354939202060505
DNMT3A,-0.4549585978235431,0.0006175818271636807,0.04354939202060505
MPP3,1.0482723764220343,0.0006161070827978239,0.04354939202060505
ZNF425,-0.35041389606204776,0.0006193807742371104,0.04354939202060505
ARHGDIA,0.48314915246733214,0.000617521663104482,0.04354939202060505
ZBTB47,0.7305884213924214,0.0006225681821203895,0.04364165452556574
TMEM22,0.7250467019028677,0.0006273967830256794,0.043706220504676284
PHF17,1.1320184897889405,0.0006281574172041493,0.043706220504676284
NUAK1,0.9745390121846833,0.0006306436484851479,0.043706220504676284
S1PR1,-1.1176647304294984,0.0006310011639913733,0.043706220504676284
ARMC8,1.185527908483416,0.0006385905092145679,0.04396726308399742
ZBTB16,3.914973883802386,0.0006368016353271633,0.04396726308399742
LAMB1,0.7686148699722946,0.0006404375106550563,0.04396726308399742
ANGPTL2,-0.8599860124234926,0.0006558810476399909,0.044116530698628635
ZNF521,-0.9010098211253736,0.0006541874086294119,0.044116530698628635
RASGRP2,1.1571931738505206,0.0006549111376748663,0.044116530698628635
AMOT,-1.5309668418607407,0.000655735705913235,0.044116530698628635
LOC440288,-0.2992314558963439,0.000649414425344188,0.044116530698628635
LZTS1,-0.3933564808629221,0.0006479103623340175,0.044116530698628635
RPLP0P2,-0.38799346592477163,0.0006543396737981204,0.044116530698628635
ZNF326,-0.5287497084082609,0.0006658892050964019,0.04447139289298958
NYNRIN,-1.011210894418574,0.0006668893619066455,0.04447139289298958
ETFA,0.292353320922655,0.0006662876089605807,0.04447139289298958
LAMC2,0.339574496657455,0.0006854192518523303,0.04494715138162174
TJP2,1.9132496847014782,0.0006856115988688917,0.04494715138162174
TSPAN32,-0.26066697490377644,0.000684452072725741,0.04494715138162174
MRPS36,0.540201941859602,0.00068309598982132,0.04494715138162174
PRKACB,-0.5224357749517861,0.0006762582944684339,0.04494715138162174
ADRA1B,2.7268883210662196,0.0006806631182219502,0.04494715138162174
GCHFR,1.4043242539496084,0.0006890247535401029,0.045044025531288806
ZBTB12,-0.3505186246436084,0.000692489637029412,0.04508772642097501
VPS4B,0.35722975113825317,0.0006955052543776062,0.04508772642097501
ROCK1,0.5462305537323084,0.0006939753084683291,0.04508772642097501
SCARF1,0.4194479535210913,0.000701897778063973,0.045279586154440984
SAMD9L,-0.4846936684208871,0.0007062471436455153,0.045279586154440984
ADAT2,-0.5236745302789935,0.0007024641341794873,0.045279586154440984
ERV3-1,-0.4759241132520895,0.0007054582442037931,0.045279586154440984
GPR20,-0.22438850002303967,0.000712066166943372,0.04529424125841498
SOX4,-2.161446034326401,0.0007146739844023714,0.04529424125841498
LINC00478,-0.7974713681507313,0.0007162067968502863,0.04529424125841498
PRKCE,-0.9099549743959805,0.0007133273602265046,0.04529424125841498
MYC,0.7930464134544666,0.0007160683585385501,0.04529424125841498
EHMT2,-0.35455067877820734,0.0007194336824825337,0.04537501380058538
PRRX1,-0.7280387958847712,0.0007374835006668785,0.04628484070602975
RLIM,0.1364953536963629,0.0007378368023863291,0.04628484070602975
SAMHD1,3.694991454129034,0.000746588148738413,0.046513725586607414
NRAS,0.26262258120810866,0.0007467958732860545,0.046513725586607414
MARCKS,-1.176728041495922,0.0007474813461690015,0.046513725586607414
HSP90AB1,-0.3660326390134543,0.0007544544925729764,0.04682245174840235
NUDCD2,0.8538522299399118,0.0007607233112792874,0.04696104409390678
SHB,-0.7189589944596384,0.000759625155236598,0.04696104409390678
SCN3B,-0.044405802892334416,0.0007673375120250526,0.04711938236770198
BBS9,-0.3345624868449666,0.0007656865674146356,0.04711938236770198
SLC5A6,1.0316052041737356,0.0007696696415108237,0.0471382146496879
CIC,-0.44602062556656596,0.0007732570474944414,0.04723362537096623
ZNF622,0.3513392030238842,0.0007755652095960128,0.04725059979824085
RNF114,-0.41706195005020597,0.0007809436070027565,0.04745404847460875
IMPA2,2.158067729754214,0.0007872898017608363,0.04759115728929855
KIAA0586,-0.30217789042525967,0.0007867968620510847,0.04759115728929855
GPR153,-0.8151444229200195,0.0007941167815437137,0.047755761904048705
ALDH4A1,0.7609104551905905,0.0007927163050176885,0.047755761904048705
EPS8L1,0.26018583936008355,0.0008046295400921145,0.048111885869699826
KRT81,0.0726304099538537,0.0008062405142948022,0.048111885869699826
CERS5,0.46441171082578814,0.0008021578552795846,0.048111885869699826
HSCB,-0.4005724502628434,0.0008138553490210807,0.048302848624075016
GLRX,1.046837386845863,0.0008198180383495738,0.048302848624075016
EVI5L,-0.31881077928354795,0.0008197158697610731,0.048302848624075016
PREP,0.4504011690969758,0.0008182267654799947,0.048302848624075016
TMEM165,0.6401929379563125,0.0008161106528033087,0.048302848624075016
MAGED1,-0.6327824162779416,0.0008301621765761736,0.04834786559257277
KLF9,1.9120197535050898,0.000833505554853779,0.04834786559257277
BNIP2,0.2819357131657183,0.0008328022314542544,0.04834786559257277
SYNRG,-0.4505954703858652,0.0008351240479617691,0.04834786559257277
HRH1,-0.6063910390342779,0.0008339923789181303,0.04834786559257277
DDIT3,-1.0079484861613164,0.0008258435783474804,0.04834786559257277
CPNE3,0.40289800097008044,0.0008265382124117047,0.04834786559257277
